ProductName,ProductSku,PurchaseValue,SpendsCatalogAds,SpendsPMaxAds,TotalCatalogSpendsFBGoogle,TotalRevenue,BlendedROASCatalogAds,GABlendedROASCatalogSpends,ProductPageViews,AddToCarts,Purchases,AddToCartRate,TransactionRate,ConversionRate,FbImpressions,FbClicks,FbCTR,FbCPC,GoogleImpressions,GoogleClicks,GoogleCTR,GoogleCPC,PurchasesPmaxAds,PurchasesValuePmaxAds,ROASPmaxAds,TotalProductCount,ActiveProductCount,ActiveVariantCount,InStockProductCount,OutOfStockProductCount,AverageSellingPrice,DiscountedProductCount,InStockVariantCount,OutofstockVariantsCount,TotalSpendEstimated,BlendedCRRCatalogAds,BlendedCRREstSpends,BlendedROASEstSpends,GABlendedROASEstSpends,GABlendedCRRCatalogSpends,GABlendedCRREstSpends,CPSCatalogSpends,CPSEstSpends,GACPSCatalogSpends,GACPSEstSpends
Men Lounge Pants Night Set,8134454575320,0,0,,0,0,,,1,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,2,,,0,,,,,0,,0,
Men Printed Boxers,8149836136664,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Mens Printed Regular Fit Sweatshirt,8134369411288,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Checked Overshirt,8136718811352,0,0,,0,0,,,24,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,59,,,0,,,,,0,,0,
Men's Cotton Beige Checkered Slim Fit Long Sleeves Shirt,7669833105624,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Solid Shirt,8182402711768,0,0,,0,0,,,58,2,0,3.45,,,0,0,,,0,0,,,0,0,,,,,,,,,,,154,,,0,,,,,0,,0,
Royal Blue Lace-Ups Sneakers,7887664414936,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Colorspray Jeans,8037481513176,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Printed White Casual Shirt,7638223323352,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Grey Cotton Solid Chinos,7620659740888,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Prada Lace-Ups Black Casual Shoes UK 196,7974594314456,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Polyester Black Checkered Slim Fit Long Sleeves Shirt,7998210769112,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Casual Shirt,8046560280792,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Placement Printed Denim Cargo Shirt,8401328865496,0,0,,0,0,,,20,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,49,,,0,,,,,0,,0,
Men Bomber Jacket,8164045586648,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Checkered Lounge Pants,8041441394904,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Puffer Jacket,8037673795800,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Polyester Viscose Lycra Regular Fit Self Design Grey Woven Jogger Trouser,7997268754648,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Kurta Pajama Set,8155577254104,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Long Length Kurta,8134381404376,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Blue Slip-On Casual Shoes,7887663202520,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Solid Jacket,8211682394328,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Casual cuffed Cargo Pant,8039668416728,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Grey Melange Polycotton Solid Long Sleeves Sweat Shirt,7873018921176,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Brown Solid Slim Fit Long Sleeves Shirt,7842725036248,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Pu Lace-Ups Black Casual Shoes,7974589759704,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Jogger Pant,8174311538904,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Black Tropical Boxy Fit Boxer,7637634711768,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Plus Size Slim Fit Jeans,8149842821336,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Basic T-Shirt,8134396051672,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Kurta,8046586167512,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Athleisure Sweatshirt,8039690895576,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Green Solid Slim Fit Long Sleeves Shirt,7873313276120,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Jeans Denim,8149784395992,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Hooded T-Shirt,8149919858904,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
White Lace-Ups Casual Shoes,7887664054488,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Color Block Windcheater,8136358232280,0,0,,0,0,,,2,0,0,,,,0,0,,,317,0,,,0,0,,,,,,,,,,,5,,,0,,,,,0,,0,
Men Indie Button-Up,8046569160920,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Casual Blazer,8134377701592,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Solid Dress,8401330897112,0,0,,0,0,,,0,0,0,,,,0,0,,,284,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Red Oversized Fit Back Printed T-Shirt,8438886039768,0,0,,0,0,,,2,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,5,,,0,,,,,0,,0,
Women Patch Pocket Corduroy Crop Shirt,8149736161496,0,0,,0,0,,,5,0,0,,,,0,0,,,38,0,,,0,0,,,,,,,,,,,13,,,0,,,,,0,,0,
Men Abstract Shorts,8046848606424,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Checkered Shirt,8134390513880,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Crew Neck T-Shirt,8155582824664,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Mens Solid Relaxed Fit Sweatshirt,8149796356312,0,0,,0,0,,,0,0,0,,,,0,0,,,3,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Grey Cotton Vertical Stripes Chinos,7634139939032,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women's Green High-Rise Regular Fit Solid Satin Cuffed Cargo Jogger,8011163173080,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Purple Solid Slim Fit Long Sleeves Shirt,7669838250200,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Striped Trouser,8238617067736,0,0,,0,0,,,3,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,10,,,0,,,,,0,,0,
Mens Back Printed Oversized T-Shirt,8453112234200,0,0,,0,0,,,3,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,7,,,0,,,,,0,,0,
Men Plus Size Checked Shirt,8133637177560,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Resort Shirt,8134449463512,0,0,,0,0,,,1,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,2,,,0,,,,,0,,0,
Mens Graphic Printed Slim Fit T-Shirt,8453115511000,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Polyester Cotton Slim Fit Solid Navy Cuffed Jogger,7997263315160,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women's Dark Blue Slim Fit Solid Distressed Crop Denim Jacket,7831902290136,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Cargo Trouser,8149897183448,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Black Checkered Slim Fit Long Sleeves Shirt,7669822816472,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Solid Jacket,8192619479256,0,0,,0,0,,,1,0,0,,,,0,0,,,7,0,,,0,0,,,,,,,,,,,3,,,0,,,,,0,,0,
Men Abstract Printed Shirt,8133645959384,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Boxer Night Set,8140552339672,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Checked Shirt,8231615529176,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Matty Knitted Trouser,8150963683544,0,0,,0,0,,,1,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,3,,,0,,,,,0,,0,
Men Solid Shirt,8140519932120,0,0,,0,0,,,43,2,0,4.65,,,0,0,,,0,0,,,0,0,,,,,,,,,,,106,,,0,,,,,0,,0,
Women Solid Belted Shorts,8044984041688,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Joggers,8046857781464,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Blue Solid Slim Straight Fit Stretchable Jeans,7869720330456,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Joggers Pant,8134401589464,0,0,,0,0,,,1,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,2,,,0,,,,,0,,0,
Women's Skinny Fit Blue Solid Stretchable Jeans,7710104518872,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Purple Cotton Solid Long Sleeves Kurta,7873028915416,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Polycotton Blue Checkered Slim Fit Long Sleeves Shirt,7602519343320,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Polycotton Blue Checkered Slim Fit Long Sleeves Shirt,7602520654040,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Jogger Pant,8167338967256,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Bodycon BODYCON DRESS,8044910739672,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women's Black Stretchable High-Rise Bootcut Laser Jeans,8011162124504,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Blue Solid Slim Fit Cargo,7602524520664,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Polyester Black Colourblocked Slim Fit Sleeveless Jackets,7638228599000,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Jacket,8149955739864,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Striped Shirt,8046858764504,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Long Kurta,8134398443736,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton White Striped Slim Fit Long Sleeves Shirt,7977065578712,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Long Kurta,8149779120344,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Black Comfort Straight Fit Solid Luxe Blazer,8501108768984,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Winter Jacket,8037367742680,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Vest,8046569881816,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Knit Tracksuit,8039697711320,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Classic Jeans,8046587150552,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Printed Empire Line Midi Dress,8149822767320,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Casual Skinny Fit Jeans,8044986925272,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Mens Solid Regular Fit Sweatshirt,8136357511384,0,0,,0,0,,,0,0,0,,,,0,0,,,18,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Puffer Jacket,8140539986136,0,0,,0,0,,,0,0,0,,,,0,0,,,122,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Casual Checked Shirt,8149869822168,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Solid Jacket,8211683508440,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Mens Printed Regular Fit Sweatshirt,8136361574616,0,0,,0,0,,,0,0,0,,,,0,0,,,1,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Solid Shirt,8182403793112,0,0,,0,0,,,57,1,0,1.75,,,0,0,,,0,0,,,0,0,,,,,,,,,,,148,,,0,,,,,0,,0,
Men Regular Fit Jeans,8153511952600,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women PRINTED V NECK FLARE DRESS,8044918276312,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Blue Cotton Solid Lounge Pants,7639398056152,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Casual Printed Shirt,7602526552280,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Blue Ditsy Slim Fit Long Sleeves Shirt,7602529075416,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Nehru Waistcoat,8177785471192,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's CottonPoly Green Colourblocked Slim Fit Long Sleeves SweatShirt,7638230532312,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Blue Cotton Checked Long Sleeves Shirt,7639416373464,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Polyester Pink Embroidered Slim Fit Long Sleeves SweatShirt,7936670138584,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Two Tone Denim Trucker Jacket,8046854734040,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's CottonPolyester Charcoal Solid Slim Fit Joggers,7634145181912,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women's Skinny Fit Blue Solid Stretchable Jeans,7710104289496,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit NavyBlue Cotton Checkered Long Sleeves Shirt,7639399760088,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Sweatshirts,8046814003416,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women's Blue Stretchable High-Rise Wide Leg Overdyed Jeans,8011161075928,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Dress Shirt,8046824554712,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Overdyed Straight Fit Denim Jeans,8044915065048,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Printed Shirt,8136715763928,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Black Checkered Slim Fit Long Sleeves Shirt,7977064399064,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Sherwani Set,8149762998488,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Hooded Sweatshirt,8176878813400,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Checkered Shirt,8149825716440,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Mens Back Printed Oversized T-Shirt,8453111906520,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
TIGC_Product Title,8046562574552,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Freehand Women Cream Fitted Lace Round Neck Bodycon Dress,8370788630744,0,0,,0,0,,,1,0,0,,,,0,0,,,7,0,,,0,0,,,,,,,,,,,2,,,0,,,,,0,,0,
Men Striped Chinos,8039670481112,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Active Tee,8046849032408,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Solid Nehru Jacket,8217234211032,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Solid Denim,8140557451480,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Printed Shirt,8134372655320,0,0,,0,0,,,1,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,2,,,0,,,,,0,,0,
Men Jacket,8149957869784,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Winter Jacket,8134376292568,0,0,,0,0,,,1,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,3,,,0,,,,,0,,0,
Men Kurta Pajama Set,8134398509272,0,0,,0,0,,,4,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,10,,,0,,,,,0,,0,
Men Checked Casual Shirt,8140514492632,0,0,,0,0,,,96,1,0,1.04,,,0,0,,,0,0,,,0,0,,,,,,,,,,,252,,,0,,,,,0,,0,
Men Basic T-Shirt,8134465945816,0,0,,0,0,,,16,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,41,,,0,,,,,0,,0,
Men Casual Checked Shirt,8149719613656,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Denim Jogger Jeans,8134376882392,0,0,,0,0,,,13,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,32,,,0,,,,,0,,0,
Women Striped Sheath Dress,8134439403736,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Fit And Flare Empire Waist Top,8149832106200,0,0,,0,0,,,1,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,2,,,0,,,,,0,,0,
Men Nehru Waistcoat,8155578106072,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Fitted Fitted Wrap Top,8149731672280,0,0,,0,0,,,1,0,0,,,,0,0,,,10,0,,,0,0,,,,,,,,,,,2,,,0,,,,,0,,0,
Men Checked Shirt,8214351249624,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Slim Fit Luxe Formal Shirt,8171347214552,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Basic T-Shirt,8176876388568,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Bomber Jacket,8140542148824,0,0,,0,0,,,2,0,0,,,,0,0,,,94,0,,,0,0,,,,,,,,,,,5,,,0,,,,,0,,0,
Women Linen Long Dress,8149826928856,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Lounge Pant,8149925200088,0,0,,0,0,,,10,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,26,,,0,,,,,0,,0,
Men Basic T-Shirt,8149951316184,0,0,,0,0,,,4,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,10,,,0,,,,,0,,0,
Men Solid Pack of 2 T-Shirt,8182155608280,0,0,,0,0,,,39,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,101,,,0,,,,,0,,0,
Mens Solid Relaxed Fit Sweatshirt,8149796421848,0,0,,0,0,,,1,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,3,,,0,,,,,0,,0,
Men Bomber Jacket,8046593179864,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Sports T-Shirt,8155578695896,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Olive Cotton Checkered Chinos,7639403757784,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's CottonPoly Bottle Green Colourblocked Slim Fit Long Sleeves SweatShirt,7607483171032,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Peach Cotton Ethnic Motifs WaistCoat,7634141905112,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Burgundy Cotton Graphic Lounge Pants,7637633761496,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Blue Solid Slim Fit Stretchable Jeans,7637634318552,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Blue Solid Slim Fit Kurta,7610165133528,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Polycotton Navy Blue Checkered Slim Fit Long Sleeves Shirt,7602513248472,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
